"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 10:49:00 GMT 2024","Sun Sep 01 10:49:02 GMT 2024","1426","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u0421\u041f\u0431 \u041f\u0430\u0440\u0430\u0448\u0423\u0442\u043d\u0430\u044f \u0443\u043b 65 \u0441\u0442\u0440 1]",""
"passed","Sun Sep 01 10:49:30 GMT 2024","Sun Sep 01 10:49:31 GMT 2024","1504","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-\u0421\u041f\u0431 \u041f\u0430\u0440\u0430\u0448\u0423\u0442\u043d\u0430\u044f \u0443\u043b 65 \u0441\u0442\u0440 1]",""
"skipped","Sun Sep 01 10:49:47 GMT 2024","Sun Sep 01 10:49:48 GMT 2024","469","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-()-!!]",""
"skipped","Sun Sep 01 10:49:46 GMT 2024","Sun Sep 01 10:49:47 GMT 2024","899","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"passed","Sun Sep 01 10:49:03 GMT 2024","Sun Sep 01 10:49:04 GMT 2024","1483","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal]",""
"skipped","Sun Sep 01 10:49:12 GMT 2024","Sun Sep 01 10:49:13 GMT 2024","930","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
"passed","Sun Sep 01 10:48:56 GMT 2024","Sun Sep 01 10:48:57 GMT 2024","1012","","test_2YandexAPI","","","","test_find_2_pharmacies[Egypt, Pyramid of Khufu]",""
"skipped","Sun Sep 01 10:49:17 GMT 2024","Sun Sep 01 10:49:18 GMT 2024","942","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"skipped","Sun Sep 01 10:49:18 GMT 2024","Sun Sep 01 10:49:19 GMT 2024","447","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-()-!!]",""
"passed","Sun Sep 01 10:49:10 GMT 2024","Sun Sep 01 10:49:12 GMT 2024","1470","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u0421\u041f\u0431 \u041f\u0430\u0440\u0430\u0448\u0423\u0442\u043d\u0430\u044f \u0443\u043b 65 \u0441\u0442\u0440 1]",""
